user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
145	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	80.22	11	0.6819010022961514	N/A
158_sub	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__BS750m-G39;g__BS750m-G39;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__BS750m-G39;g__BS750m-G39;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	37.45	11	0.8887148851495047	Genome has more than 20.8% of markers with multiple hits
163	d__Bacteria;p__4484-113;c__4484-113;o__4484-113;f__4484-113;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__4484-113;c__4484-113;o__4484-113;f__4484-113;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	55.68	11	0.8041651644690124	N/A
169_sub	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIA01;s__	N/A	N/A	N/A	N/A	N/A	GCA_004378665.1	95.0	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIA01;s__SOIA01 sp004378665	95.36	0.48	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIA01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	36.32	11	0.9846850885026475	N/A
16_sub	d__Bacteria;p__Desulfobacterota;c__BSN033;o__WVXP01;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__BSN033;o__WVXP01;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	63.52	11	0.5680327505686674	N/A
170_sub	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	31.51	11	0.6840626382681922	N/A
184_sub	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__PFEM01;f__PFEM01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__PFEM01;f__PFEM01;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	29.81	11	0.7521287763095185	Genome has more than 10.8% of markers with multiple hits
2	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__E44-bin15;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__E44-bin15;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	49.74	11	0.7779601949252181	N/A
223_sub	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__WVZL01;s__	N/A	N/A	N/A	N/A	N/A	GCA_011772495.1	95.0	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__WVZL01;s__WVZL01 sp011772495	77.94	0.42	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__WVZL01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	46.19	11	0.9100145045645046	N/A
238_sub	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__CAJQQK01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__CAJQQK01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	47.66	11	0.9308002093984253	N/A
243_sub	d__Bacteria;p__RBG-13-66-14;c__B26-G2;o__B26-G2;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__RBG-13-66-14;c__B26-G2;o__B26-G2;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	40.25	11	0.5594889417596687	N/A
245_sub	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SM23-28-2;f__SM23-28-2;g__SM23-28-2;s__	N/A	N/A	N/A	N/A	N/A	GCA_001303545.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SM23-28-2;f__SM23-28-2;g__SM23-28-2;s__SM23-28-2 sp001303545	82.67	0.39	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SM23-28-2;f__SM23-28-2;g__SM23-28-2;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	53.44	11	0.9186647476380017	N/A
259_sub	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__DSTF01;f__RBG-16-68-14;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__DSTF01;f__RBG-16-68-14;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	68.65	11	0.7597313545522543	N/A
26_sub	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA1429;f__UBA1429;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA1429;f__UBA1429;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	71.9	11	0.7936499492594562	N/A
27	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_001723285.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__Methyloceanibacter methanicus	84.48	0.37	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_001723355.1, s__Methyloceanibacter stevinii, 95.0, 79.67, 0.34; GCF_003071365.1, s__Methyloceanibacter sp003071365, 95.0, 79.6, 0.36	40.09	11	0.9847860906480324	Genome has more than 29.2% of markers with multiple hits
270_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__S5133MH16;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__S5133MH16;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	56.39	11	0.9215031452438049	Genome has more than 13.3% of markers with multiple hits
273_sub	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GCA-002788555;g__GCA-002788555;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GCA-002788555;g__GCA-002788555;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	44.94	11	0.8555509065894986	Genome domain questionable ( 49.2% Bacterial, 47.2% Archaeal)
275_sub	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidoferrales;f__2-02-FULL-67-57;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidoferrales;f__2-02-FULL-67-57;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	57.98	11	0.8239425693797378	N/A
280	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__UBA10806;f__4484-95;g__4484-95;s__	N/A	N/A	N/A	N/A	N/A	GCA_002085375.1	95.0	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__UBA10806;f__4484-95;g__4484-95;s__4484-95 sp002085375	78.5	0.51	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__UBA10806;f__4484-95;g__4484-95;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	70.79	11	0.9105902360303977	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
284_sub	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__B25-G16;g__B33-G16;s__	N/A	N/A	N/A	N/A	N/A	GCA_003646875.1	95.0	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__B25-G16;g__B33-G16;s__B33-G16 sp003646875	88.35	0.72	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__B25-G16;g__B33-G16;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	34.31	11	0.9535450385079959	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
287_sub	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__AE-B3A;g__AE-B3B;s__	N/A	N/A	N/A	N/A	N/A	GCA_005223085.1	95.0	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__AE-B3A;g__AE-B3B;s__AE-B3B sp005223085	88.7	0.46	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__AE-B3A;g__AE-B3B;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	40.55	11	0.9332280704465327	Genome has more than 29.2% of markers with multiple hits
288_sub	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	34.17	11	0.7965377862370318	N/A
289	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	67.73	11	0.6674604973161028	N/A
44_sub	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__B25-G16;g__B33-G16;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__B25-G16;g__B33-G16;s__	ANI	classification based on placement in class-level tree	GCA_013375385.1, s__B33-G16 sp013375385, 95.0, 80.46, 0.24; GCA_003646875.1, s__B33-G16 sp003646875, 95.0, 79.78, 0.37; GCA_013375335.1, s__B33-G16 sp013375335, 95.0, 78.44, 0.18; GCA_015223015.1, s__B33-G16 sp015223015, 95.0, 77.91, 0.22	64.26	11	0.8857015730668023	N/A
45_sub	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__AE-B3A;g__AE-B3B;s__	N/A	N/A	N/A	N/A	N/A	GCA_005223085.1	95.0	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__AE-B3A;g__AE-B3B;s__AE-B3B sp005223085	92.56	0.57	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__AE-B3A;g__AE-B3B;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	41.68	11	0.9242345292880116	Genome has more than 33.3% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
58	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__DG-27;f__DG-27;g__DG-27;s__	N/A	N/A	N/A	N/A	N/A	GCA_001302725.1	95.0	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__DG-27;f__DG-27;g__DG-27;s__DG-27 sp001302725	87.45	0.51	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__DG-27;f__DG-27;g__DG-27;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	60.72	11	0.9352655514844805	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
67	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__SCGC-AAA003-L08;f__TS1B11;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__SCGC-AAA003-L08;f__TS1B11;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	53.93	11	0.7292449665631574	Genome has more than 25.0% of markers with multiple hits
73_sub	d__Bacteria;p__WOR-3;c__UBA3073;o__JACQXS01;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__WOR-3;c__UBA3073;o__JACQXS01;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	63.56	11	0.5965346303723847	N/A
81_sub	d__Bacteria;p__UBA6262;c__UBA6262;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__UBA6262;c__UBA6262;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	44.78	11	0.46132496209560714	Genome has more than 21.7% of markers with multiple hits
97_sub	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__UBA4811;g__GLR113;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__UBA4811;g__GLR113;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	64.65	11	0.8649403302609039	N/A
